Dataset,model_name,Accuracy,Precision,Recall,F1,ROC_AUC,Average Precision,Train Time
Breast Cancer,Decision Tree,0.9226517621487347,0.8977673120530264,0.9009966777408638,0.8977456426000447,0.9338978206014726,0.8833539286933558,0.5161295413970948
Breast Cancer,Gradient Boosting,0.9543238627542306,0.9616495066495065,0.9153931339977852,0.9366908260360495,0.9918743945152396,0.9896507784706288,58.793130445480344
Breast Cancer,KNN,0.9630957925787922,0.9803063113956627,0.9198228128460686,0.9485451253672201,0.9893952864473663,0.9867556886354377,0.4108386516571045
Breast Cancer,Logistic Regression,0.9754230709517155,0.9684552845528455,0.967109634551495,0.9672010423264388,0.9955760618837919,0.9946553506162626,1.4519756317138672
Breast Cancer,MLP (PyTorch),0.9701599130569788,0.9576086956521739,0.967109634551495,0.9609141086131316,0.9961681588237434,0.995323959096126,0.4092264175415039
Breast Cancer,Naive Bayes,0.9332557056357709,0.9334501600282332,0.8914728682170543,0.9087332957490484,0.9868659090633379,0.9733644698704158,0.00382537841796868
Breast Cancer,Random Forest,0.9648501785437045,0.9598345153664303,0.9480620155038759,0.9524143000663058,0.990236975253762,0.988423209346383,12.847428274154662
Diabetes,Decision Tree,0.7004329004329005,0.5562233639402929,0.7499650593990217,0.6362018891134167,0.7720583508036338,0.6276007193626534,0.35033249855041504
Diabetes,Gradient Boosting,0.7746541040658688,0.7317617318465676,0.5707896575821104,0.6386647676064321,0.825703004891684,0.7155152790777104,22.56493730545044
Diabetes,KNN,0.7421611068669892,0.662562677804379,0.5373165618448638,0.5928156028368794,0.7889168413696716,0.6428374939930485,0.3781275272369385
Diabetes,Logistic Regression,0.7447245564892624,0.621536660687604,0.7200559049615654,0.6646727929769505,0.8332634521313766,0.7288511417324732,1.503481912612915
Diabetes,MLP (PyTorch),0.7577709871827519,0.7161672682853684,0.5331236897274634,0.5948357855748808,0.8260971348707198,0.7029386663570367,1.164734697341919
Diabetes,Naive Bayes,0.751243527714116,0.6548378718442198,0.619287211740042,0.6352714252714253,0.8115422781271839,0.6748254071056294,0.00232381820678706
Diabetes,Random Forest,0.7603938545115015,0.6777078836468291,0.6008385744234801,0.6365319949470676,0.8248183088749126,0.6994560140582804,11.376608753204346
Heart,Decision Tree,0.7292789386121191,0.7669666292833546,0.6774478744632587,0.7191560872188221,0.7911574807828329,0.7726532589220347,4.825808811187744
Heart,Gradient Boosting,0.7325877297670766,0.7544980515470475,0.7080397293005923,0.7305264854955529,0.8011587449125634,0.7915944237646727,341.4352317810059
Heart,KNN,0.7107437889354504,0.7251173709012294,0.7005530365583449,0.7126119932465788,0.7666413466973505,0.7451260097867383,176.51784524917602
Heart,Logistic Regression,0.7232452827752601,0.7574812856512446,0.6757817937751077,0.7142876407112049,0.7882332972249083,0.7781832917560635,3.6013650417327883
Heart,MLP (PyTorch),0.7308959348179145,0.7537028335024472,0.7046763523262933,0.7283454908515125,0.7983500724878174,0.7876229577548028,118.79431238174439
Heart,Naive Bayes,0.6656785620305555,0.7846293096261705,0.47822682744360423,0.5942316702495208,0.7685256092113129,0.7471738773285305,0.01891403198242182
Heart,Random Forest,0.732138602198105,0.7706582002767488,0.6787938701786089,0.7217976635132409,0.800153823043211,0.7909582249380918,204.968958568573
Stroke,Decision Tree,0.7068724245024229,0.11597886997297915,0.722204081632653,0.19898869131153202,0.7694472828563839,0.14820263783260576,0.5907848358154297
Stroke,Gradient Boosting,0.950210672177174,0.2,0.004,0.00784313725490196,0.8372891599239114,0.18012467832093063,55.09126200675964
Stroke,KNN,0.9494076607332037,0.0,0.0,0.0,0.7053663256444518,0.10705002035507265,1.806462335586548
Stroke,Logistic Regression,0.7267565749457207,0.13505857978398192,0.8266122448979593,0.23206146446568177,0.8386145587565214,0.20097676213712967,1.9366623878479003
Stroke,MLP (PyTorch),0.9494076607332037,0.0,0.0,0.0,0.8105303715919439,0.18973260511390683,5.487485790252686
Stroke,Naive Bayes,0.8201137549193765,0.14569446550420273,0.5406530612244899,0.22927733203534134,0.8074429616733518,0.16264908231024877,0.00336089134216304
Stroke,Random Forest,0.9417775414597205,0.1290909090909091,0.03665306122448978,0.03846153846153844,0.7996323892633063,0.14806325227375333,20.287920427322387
